b2390  	2 	2 	1 	4 	2 	2 	0 	1 	0 	0 	0 	0 	0 	6 	3 	1 	4 	1 	0 	3 	0 	1 	0 	1 	1 	0 	3 	5 	0 	0 	0 	7 	6 	1 	1 	0 	1 	0 	1 	1 	6 	4 	2 	0 	1 	4 	8 	2 	2 	4 	0 	2 	0 	2 	0 	1 	0 	0 	0 	0 	0 	8 	2 	0 	109
b3607  	4 	9 	5 	7 	8 	7 	0 	0 	1 	2 	2 	2 	1 	4 	3 	15 	11 	1 	0 	6 	6 	3 	2 	4 	9 	0 	2 	13 	3 	0 	6 	5 	6 	0 	3 	0 	4 	0 	0 	1 	9 	5 	2 	3 	1 	8 	6 	4 	3 	7 	1 	10 	5 	10 	10 	2 	4 	5 	0 	3 	1 	3 	13 	4 	274
b1972  	4 	2 	6 	7 	4 	2 	2 	0 	2 	3 	1 	4 	0 	5 	4 	7 	17 	0 	4 	3 	1 	1 	1 	1 	5 	0 	4 	5 	0 	1 	8 	6 	2 	3 	5 	2 	1 	0 	3 	1 	2 	3 	2 	0 	15 	0 	2 	5 	2 	5 	3 	5 	3 	7 	4 	2 	2 	3 	0 	9 	2 	8 	0 	1 	212
b4381  	11 	6 	1 	18 	17 	4 	0 	0 	1 	1 	8 	0 	0 	1 	3 	2 	20 	0 	4 	3 	2 	0 	0 	1 	6 	0 	2 	10 	3 	0 	4 	5 	6 	0 	0 	1 	0 	0 	0 	1 	8 	4 	4 	0 	0 	14 	7 	3 	0 	8 	3 	7 	1 	17 	8 	5 	4 	8 	0 	1 	2 	1 	12 	2 	260
b2032  	2 	5 	4 	38 	7 	6 	6 	2 	6 	2 	3 	3 	2 	7 	19 	18 	5 	3 	9 	1 	2 	5 	7 	5 	1 	1 	12 	5 	5 	2 	0 	0 	15 	1 	8 	0 	4 	0 	4 	0 	1 	4 	8 	1 	9 	2 	3 	21 	3 	11 	4 	1 	7 	2 	2 	8 	12 	5 	1 	8 	1 	6 	18 	10 	373
b2302  	2 	3 	3 	5 	2 	6 	0 	0 	3 	5 	2 	3 	0 	6 	4 	11 	9 	3 	2 	2 	2 	3 	2 	0 	7 	4 	5 	4 	0 	1 	7 	5 	7 	2 	2 	1 	4 	0 	3 	1 	5 	3 	7 	4 	2 	2 	6 	6 	0 	7 	3 	9 	1 	1 	0 	2 	3 	2 	0 	5 	0 	7 	8 	2 	216
b4480  	10 	4 	2 	9 	4 	4 	1 	0 	2 	2 	7 	4 	2 	6 	8 	6 	15 	3 	3 	2 	3 	7 	4 	1 	1 	3 	8 	7 	1 	6 	12 	4 	9 	2 	12 	1 	1 	0 	3 	1 	3 	0 	4 	2 	4 	2 	4 	5 	4 	4 	1 	9 	2 	8 	7 	4 	2 	4 	0 	7 	0 	7 	14 	3 	280
b2705  	4 	7 	2 	10 	8 	4 	1 	0 	1 	4 	7 	0 	0 	1 	5 	6 	18 	1 	2 	2 	1 	7 	2 	1 	3 	0 	5 	12 	1 	0 	10 	5 	8 	0 	0 	3 	6 	0 	2 	0 	9 	8 	4 	6 	1 	6 	4 	6 	3 	5 	2 	8 	7 	10 	8 	6 	4 	2 	1 	3 	1 	0 	5 	2 	260
b2743  	4 	4 	1 	5 	4 	0 	1 	0 	1 	2 	1 	1 	1 	4 	4 	8 	8 	1 	1 	1 	4 	6 	0 	2 	6 	1 	3 	5 	0 	1 	12 	4 	6 	4 	4 	1 	3 	0 	3 	1 	5 	0 	6 	4 	5 	3 	7 	4 	1 	6 	3 	4 	3 	7 	8 	1 	5 	3 	0 	3 	0 	4 	9 	0 	209
b0699  	1 	3 	1 	3 	1 	0 	0 	0 	2 	1 	2 	0 	1 	1 	0 	0 	3 	0 	2 	0 	0 	0 	0 	0 	1 	0 	3 	1 	0 	0 	1 	4 	3 	0 	2 	0 	0 	0 	0 	0 	1 	3 	0 	1 	1 	1 	1 	3 	0 	3 	0 	2 	1 	3 	1 	2 	2 	0 	1 	0 	0 	4 	3 	0 	69
b3581  	3 	4 	2 	6 	9 	3 	1 	0 	1 	4 	3 	0 	0 	3 	1 	7 	9 	0 	1 	2 	4 	6 	0 	1 	4 	0 	1 	5 	1 	1 	7 	7 	6 	2 	6 	3 	5 	0 	1 	1 	11 	0 	2 	0 	2 	11 	3 	3 	3 	8 	1 	10 	3 	14 	5 	2 	1 	6 	0 	1 	1 	6 	8 	0 	221
b1115  	11 	9 	1 	8 	11 	6 	3 	0 	3 	2 	10 	2 	1 	4 	7 	11 	30 	2 	4 	2 	1 	5 	5 	1 	8 	4 	12 	3 	6 	1 	5 	10 	4 	1 	7 	1 	2 	0 	2 	1 	6 	5 	5 	6 	6 	1 	3 	11 	2 	6 	5 	8 	7 	9 	12 	12 	8 	4 	0 	11 	7 	14 	3 	1 	358
b1438  	2 	4 	2 	5 	4 	2 	0 	1 	5 	1 	1 	2 	0 	2 	2 	3 	3 	1 	4 	2 	0 	1 	1 	1 	1 	2 	3 	1 	0 	1 	5 	1 	5 	0 	3 	0 	0 	0 	0 	1 	4 	0 	4 	2 	7 	1 	1 	7 	1 	3 	2 	3 	4 	7 	2 	0 	2 	3 	0 	4 	0 	0 	8 	2 	139
b1215  	5 	10 	5 	17 	6 	8 	0 	0 	1 	1 	4 	0 	0 	2 	2 	10 	17 	0 	3 	4 	0 	2 	1 	3 	10 	1 	2 	12 	1 	1 	11 	6 	12 	0 	2 	3 	2 	0 	2 	1 	9 	2 	3 	1 	0 	7 	3 	7 	0 	5 	5 	4 	4 	10 	13 	9 	6 	7 	0 	3 	4 	0 	12 	4 	285
